pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
6721,A dead bird is near a black man sitting on a tree,The black bird is sitting in a leafless tree,2.8,NEUTRAL
6723,The black bird is not sitting in a leafless tree,A black bird is sitting on a dead tree,3.8,NEUTRAL
6725,A child in orange is playing outdoors with a snowball,A kid in orange is playing outside with a snowball,4.8,ENTAILMENT
6728,A child is making a snow ball,A child is smashing a snow ball,3.7,NEUTRAL
6731,A child is making a snow ball,A child in orange is playing outdoors with a snowball,4.4,ENTAILMENT
6733,A child is making a snow ball,A kid in orange is playing outside with a snowball,3.7,NEUTRAL
6735,Three people are standing by a bench under some palm trees,Three people are sitting on a bench under some palm trees,3.6,NEUTRAL
6736,The people are sitting aimlessly on a bench in front of a restaurant,The people are sitting on a bench in front of a restaurant,4.4,ENTAILMENT
6738,The people are sitting on a bench in front of a restaurant,The people are sitting in a restaurant in front of the beach,4,NEUTRAL
6742,A few people are sitting on a bench under some palm trees,The people are sitting on a bench in front of a restaurant,3.4,NEUTRAL
6745,Two people are sitting in lawn chairs and are reading books,Some people are sitting in lawn chairs and are reading books,4.65,ENTAILMENT
6746,There is no one sitting in lawn chairs and reading books,Two people are sitting in lawn chairs and are reading books,3.3,CONTRADICTION
6747,Two people in two chairs are reading pleasantly,Two people in two chairs are reading,4.5,ENTAILMENT
6748,Two people in two chairs are talking,Two people in two chairs are reading,3.9,NEUTRAL
6750,Two people are sitting in lawn chairs and are reading books,Two people in two chairs are talking,3.5,NEUTRAL
6752,There is no one sitting in lawn chairs and reading books,Two people in two chairs are reading,3.7,NEUTRAL
6754,The back of a small black dog is being sniffed by the brown dog,The brown dog is sniffing the back of a small black dog,4.9,ENTAILMENT
6757,A large brown dog and a small grey dog are standing on a rocky surface,There is no large brown dog and small grey dog standing on a rocky surface,3.9,CONTRADICTION
6758,A big brown dog and a small grey dog are standing on a rocky surface,The brown dog is sniffing the back of a small black dog,3.3,NEUTRAL
6760,The back of a small black dog is being sniffed by the brown dog,A large brown dog and a small grey dog are standing on a rocky surface,2.6,NEUTRAL
6761,The brown dog is not sniffing the back of a small black dog,A large brown dog and a small grey dog are standing on a rocky surface,2.5,NEUTRAL
6762,A large brown dog and a small grey dog are standing on a rocky surface,The brown dog is sniffing the back of a small black dog,2.4,NEUTRAL
6765,Three boys are rocking the walk along the river,Three boys are walking on rocks along a river,3.5,NEUTRAL
6766,The men in brown shorts are walking on the rocks beside a river,The man in brown colored shorts is walking on the rocks beside a river,4.3,ENTAILMENT
6768,The man in brown colored shorts is walking on the rocks beside a river,Three boys are walking on rocks along a river,2.5,NEUTRAL
6769,Three boys are walking on rocks along a river,The men in brown shorts are not walking on the rocks beside a river,3.4,NEUTRAL
6770,Three boys are carefully walking on rocks along a river,The men in brown shorts are walking on the rocks beside a river,3.5,NEUTRAL
6771,Three boys are resting on rocks along a river,The men in brown shorts are walking on the rocks beside a river,2.8,NEUTRAL
6772,Three boys are rocking the walk along the river,The men in brown shorts are walking on the rocks beside a river,2.9,NEUTRAL
6773,The men in brown shorts are walking on the rocks beside a river,Three boys are walking on rocks along a river,3.6,NEUTRAL
6775,There is no dog jumping for a Frisbee in the snow,A dog is jumping for a Frisbee in the snow,3.6,CONTRADICTION
6777,A black dog in the snow is jumping onto the ground and missing a stick,A black dog in the snow is jumping off the ground and catching a stick,3.9,NEUTRAL
6778,A dog is jumping for a Frisbee in the snow,A black dog in the snow is leaping off the ground and catching a stick,3,NEUTRAL
6781,A black dog in the snow is jumping off the ground and catching a stick,There is no dog jumping for a Frisbee in the snow,2.65,NEUTRAL
6789,A man is holding a mask in his raised hand,A man elegantly dressed in black is wearing an elaborate black mask,3.2,NEUTRAL
6791,A man dressed in black is wearing an elaborate black mask,A man is holding a mask in his raised hand,3.3,NEUTRAL
6799,Two children are crouching under some metal bars,Two children are leaning on a rusty ledge,2.5,NEUTRAL
6800,Two children are crouching under some metal bars,Two children are peering over a rusty ledge,2.6,NEUTRAL
6802,"The player in purple, white and black is playing near the end of the field","The player in purple, white and black is not playing near the end of the field",4.3,CONTRADICTION
6804,A man is wearing a sports uniform and is running down the field,A sports uniform is being worn by a man who is running down the field,4.9,ENTAILMENT
6805,A man is naked and is lying in the field,A man is wearing a sports uniform and is running down the field,2.3,NEUTRAL
6810,The black player is making the white player a play near the end of a purple field,A man is wearing a sports uniform and is running down the field,2.3,NEUTRAL
6812,A man on a bicycle is riding on the beach,A man on a bike is riding on the shore,4.6,ENTAILMENT
6813,There is no man on a bicycle riding on the beach,A man on a bicycle is riding on the beach,3.1,CONTRADICTION
6814,One person is riding a bicycle in the sand beside the ocean,A person is riding a bicycle in the sand beside the ocean,4.7,ENTAILMENT
6816,One person is riding a bicycle in the sand beside the ocean,A man on a bicycle is riding on the beach,3.9,NEUTRAL
6819,There is no man on a bicycle riding on the beach,A person is riding a bicycle in the sand beside the ocean,3.9,ENTAILMENT
6822,A large duck is flying over a rocky stream,A large duck is perching over a rocky stream,3.5,NEUTRAL
6824,A seabird is slowly flying over some rocks,A seabird is flying over some rocks,4.7,ENTAILMENT
6825,There is no seabird flying over some rocks,A seabird is flying over some rocks,3.7,CONTRADICTION
6830,A seabird is flying over some rocks,"A large stream is full of rocks, ducks and flies",2.3,NEUTRAL
6833,The kids are chasing each other in the sand,The kids are not chasing each other in the sand,4.3,CONTRADICTION
6834,A little boy is running on the ground and playing with a little girl,The little boy is running on the ground and playing with a little girl,4.8,ENTAILMENT
6840,The kids are chasing each other in the sand,A little boy is running on the ground and playing with a little girl,3.3,NEUTRAL
6843,A daughter is being pushed by her father on a go-kart and another girl is watching,A father is pushing his daughter on a go-kart and another girl is watching,4.5,ENTAILMENT
6845,A father is pushing his daughter on a go-kart and another girl is watching,A girl is pushing a go-kart and a daughter is watching her father,3.6,NEUTRAL
6847,A father is pulling his daughter on a go-kart and another girl is looking away,Two small children are playing with a toy car in the street,2.3,NEUTRAL
6851,A father is pushing his daughter on a go-kart and another girl is watching,Two small children are playing with a toy car in the street,3,NEUTRAL
6855,There is no dog running up a grassy hill,A dog is running up a grassy hill,3.6,CONTRADICTION
6857,A dog is running uphill,There is no dog running up a grassy hill,4.1,NEUTRAL
6862,A golden dog is running through a field of tall grass,A golden dog is sitting in a field of tall grass,3.5,NEUTRAL
6863,A brown dog is running through the grass which is tall and green,A brown dog is running through tall green grass,5,ENTAILMENT
6865,A brown dog is running through the grass which is tall and green,A golden dog is running through a field of tall grass,4.3,ENTAILMENT
6868,A golden dog is sitting in a field of tall grass,A brown dog is running through tall green grass,3.6,NEUTRAL
6869,A brown dog is running through tall green grass,A golden dog is running through a field of tall grass,3.5,NEUTRAL
6870,Two dogs are cheerfully playing on the beach,Two dogs are playing on the beach,4.5,ENTAILMENT
6875,Two dogs are playing on the beach,There are no white dogs running and jumping along a beach,3.5,NEUTRAL
6877,Two dogs are resting on the beach,Two white dogs are running and jumping along a beach,2.9,NEUTRAL
6879,The large brown dog is running outdoors in the dirt,The large brown dog is running outside in the dirt,4.9,ENTAILMENT
6880,The large brown dog is not running outside in the dirt,The large brown dog is running outside in the dirt,3,CONTRADICTION
6884,The large brown dog is running outside in the dirt,A dog is sitting by a fence on a dirt track,2.8,NEUTRAL
6885,The large brown dog is running outdoors in the dirt,A dog is running alongside a fence on a dirt track,3.5,NEUTRAL
6887,The large brown dog is running outside in the dirt,A dog is running alongside a fence on a dirt track,3.9,NEUTRAL
6890,A girl is jumping off a rock and another is standing on it,One girl is jumping off a rock and another is standing on it,4.8,ENTAILMENT
6894,A girl is jumping off a rock and another is standing on it,A young girl in a coat made for winter is jumping off a boulder into the sand at a beach,2.8,NEUTRAL
6896,A young girl in a winter coat is jumping off a boulder into the sand at a beach,A girl is jumping off a rock and another is standing on it,3.3,NEUTRAL
6897,The man with brown hair is wearing sunglasses and is sitting listlessly at a table with cans of soda and other drinks,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,4.4,ENTAILMENT
6899,A young man with brown hair and shades is sitting in front of some cans of soda,A young man with brown hair and sunglasses is sitting in front of some cans of soda,5,ENTAILMENT
6901,A young man with brown hair and shades is sitting in front of some cans of soda,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,4.1,NEUTRAL
6902,There is no young man with brown hair and sunglasses sitting in front of some cans of soda,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,2.8,CONTRADICTION
6903,The man with brown hair is wearing sunglasses and is sitting listlessly at a table with cans of soda and other drinks,A young man with brown hair and sunglasses is sitting in front of some cans of soda,4.2,ENTAILMENT
6905,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,A young man with brown hair and sunglasses is sitting in front of some cans of soda,4.3,NEUTRAL
6907,A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,3,NEUTRAL
6913,A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,2.9,NEUTRAL
6914,A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching,3.2,NEUTRAL
6918,A bearded man is standing by a shopping cart and is holding a cardboard sign,One bearded man is standing by a shopping cart and is holding a cardboard sign,4.9,ENTAILMENT
6919,A bearded man is sitting by a shopping cart and is dropping a cardboard sign,A bearded man is standing by a shopping cart and is holding a cardboard sign,4,NEUTRAL
6920,One bearded man is standing by a shopping cart and is holding a cardboard sign,A man is holding a sign and is seeking money,3.5,NEUTRAL
6921,A man is holding a sign and is seeking money,A bearded man is sitting by a shopping cart and is dropping a cardboard sign,2.9,NEUTRAL
6922,A man is uninterestedly holding a sign and is seeking money,A bearded man is standing by a shopping cart and is holding a cardboard sign,3.8,NEUTRAL
6923,There is no man holding a sign and seeking money,A bearded man is standing by a shopping cart and is holding a cardboard sign,3.4,NEUTRAL
6924,A bearded man is standing by a shopping cart and is holding a cardboard sign,A man is seeking a sign and is holding some money,3.1,NEUTRAL
6927,There is no snowboarder doing a flip over a mound of snow,A snowboarder is doing a flip over a mound of snow,3.8,CONTRADICTION
6931,A snowboarder is doing a flip over a mound of snow,There is nobody jumping in the air on a board,3.2,NEUTRAL
6934,A snowboarder is doing a flip over a mound of snow,Somebody is jumping in the air on a board,3.3,NEUTRAL
6940,"Two men, a woman, and two young boys are standing aimlessly in front of a large gathering of people outside a building",A large crowd in warm clothing is posing for a camera,2,NEUTRAL
6942,"A crowd, which is large, in warm clothing is posing for a camera","Two men, a woman, and two young boys are standing in front of a large gathering of people outside a building",2.4,NEUTRAL
6945,A large crowd in warm clothing is posing for a camera,"Two men, a woman, and two young boys are standing in front of a large gathering of people outside a building",2.4,NEUTRAL
6946,"A girl, who is little, with blond hair is smiling and sitting on a swing",A little girl with blond hair is smiling and sitting on a swing,4.8,ENTAILMENT
6947,There is no little girl with blond hair smiling and sitting on a swing,A little girl with blond hair is smiling and sitting on a swing,3.7,CONTRADICTION
6948,A blond kid in green is sitting on a swing,A blonde boy in green is sitting on a swing,4.8,ENTAILMENT
6950,A blonde in green is sitting by a swinging boy,A blonde boy in green is sitting on a swing,3.1,NEUTRAL
6957,Music is being performed by four people outdoors,Four people are performing music outdoors,4.9,ENTAILMENT
6958,Four people are performing music outdoors,Four people are silently standing outdoors,3,NEUTRAL
6964,Four people are performing music outdoors,A white man is staging a hat and a playing guitar,2.9,NEUTRAL
6966,A man in a white hat is playing guitar on stage,Four people are silently standing outdoors,1.6,NEUTRAL
6968,A man is participating in a bmx race,A man is participating in a race for bmxs,4.7,ENTAILMENT
6969,A man is participating in a bmx race,A man is not participating in a bmx race,3.7,CONTRADICTION
6970,A man in a red uniform is swiftly making a jump in a dirt bike race,A man in a red uniform is making a jump in a dirt bike race,4.4,ENTAILMENT
6974,A man is participating in a bmx race,There is no man in a red uniform making a jump in a dirt bike race,2.8,NEUTRAL
6975,A man in a red uniform is racing and making a jump over a bike in the dirt,A man is participating in a bmx race,3.6,NEUTRAL
6978,A man in a red uniform is making a jump in a dirt bike race,A man is participating in a bmx race,3.6,NEUTRAL
6979,A happy family is posing by the fireplace,"A family, which looks happy, is posing by the fireplace",4.5,ENTAILMENT
6980,A happy family is posing by the fireplace,A sad family is posing by the fireplace,3.5,NEUTRAL
6981,The family is posing by a mantel and a Christmas tree,A family is posing by the mantel and the Christmas tree,5,ENTAILMENT
6982,There is no family posing by the mantel and the Christmas tree,A family is posing by the mantel and the Christmas tree,3.7,CONTRADICTION
6983,The family is posing by a mantel and a Christmas tree,A happy family is posing by the fireplace,4,NEUTRAL
6987,A family is posing by the mantel and the Christmas tree,A happy family is posing by the fireplace,3.4,NEUTRAL
6991,Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,Two girls are wearing brown shirts and are tugging at a rope on a wooden platform,3.5,NEUTRAL
6992,Two twin preteen boys are dueling with sticks,Two boys are wearing brown shirts and are enthusiastically tugging at a rope on a wooden platform,2,NEUTRAL
6993,Two girls are wearing brown shirts and are tugging at a rope on a wooden platform,Two twin preteen boys are dueling with sticks,1.6,NEUTRAL
6994,Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,Two twin preteen kids are dueling with sticks,2.4,NEUTRAL
6995,Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,Two twin preteen boys are playing with cards,2.1,NEUTRAL
6996,Two boys are wearing brown shirts and are tugging at a rope on a wooden platform,Two twin preteen boys are dueling with sticks,2.6,NEUTRAL
6997,An opponent is tackling a soccer player,A soccer player is being tackled by his opponent,4.9,ENTAILMENT
6998,There is no soccer player who is being tackled by an opponent,A soccer player is being tackled by his opponent,4.3,CONTRADICTION
7000,Rugby players are not tackling each other,Rugby players are tackling each other,3.9,CONTRADICTION
7001,A soccer player is being tackled by his opponent,Some people playing rugby are tackling each other,2.6,NEUTRAL
7004,There is no soccer player who is being tackled by an opponent,Rugby players are tackling each other,2.3,NEUTRAL
7005,A soccer player is being tackled by his opponent,Rugby players are tackling each other,1.9,NEUTRAL
7006,"A dog, which is white, is standing on fallen leaves",A white dog is standing on fallen leaves,4.7,ENTAILMENT
7008,A white dog is standing on the leaves on the ground,One white dog is standing on the leaves on the ground,5,ENTAILMENT
7009,There is no white dog standing on the leaves on the ground,A white dog is standing on the leaves on the ground,4.3,CONTRADICTION
7013,A white dog is lying on fallen leaves,A white dog is standing on the leaves on the ground,3.4,NEUTRAL
7016,Two girls are not playing inside the jumper house,Two girls are playing inside a jumper house,4,CONTRADICTION
7019,A child in light colored clothing is standing with his arms extended outward,A child in light colored clothing is lying with his arms crossed,3.7,NEUTRAL
7020,Two girls are playing inside a jumper house,A child in clothing which is light colored is standing with his arms extended outward,1.3,NEUTRAL
7021,A child in light colored clothing is lying with his arms crossed,Two girls are playing inside a jumper house,1.4,NEUTRAL
7022,A child in light colored clothing is standing with his arms extended outward,Two girls are happily playing inside a jumper house,1.9,NEUTRAL
7025,Two girls are playing inside a jumper house,A child in light colored clothing is standing with his arms extended outward,1.5,NEUTRAL
7026,The boy and girl are playing on the outdoor gym,A boy and a girl are playing on the outdoor gym,5,ENTAILMENT
7028,Some children are playing on a playground,Some kids are playing on a playground,4.9,ENTAILMENT
7035,The motocross rider is wearing blue and black pants,Blue and black pants are being worn by the motocross rider,5,ENTAILMENT
7040,The motocross rider is wearing blue and black pants,"A biker with a blue jacket, black pants and a white helmet is driving recklessly on dirt and people watch",3.3,NEUTRAL
7045,"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",The motocross rider is wearing blue and black pants,3.4,NEUTRAL
7054,A female wearing pink gloves and a brown jacket is smiling in the snow,A young Asian woman with pink gloves is standing in the snow,4,NEUTRAL
7056,A man is drinking orange juice and walking,A man is spilling orange juice and standing still,3.2,NEUTRAL
7058,A man is drinking orange juice and walking on a sunny day,There is no man drinking orange juice and walking on a sunny day,3.7,CONTRADICTION
7060,There is no man drinking orange juice and walking on a sunny day,A man is drinking orange juice and walking,3.3,CONTRADICTION
7061,A man is drinking orange juice and walking on a sunny day,A person is drinking orange juice and walking,4.4,ENTAILMENT
7063,A man is drinking orange juice and walking on a sunny day,A man is drinking orange juice and walking,4.3,ENTAILMENT
7066,A man on inline skates is skating at a skate park,A man on inline skates is skating at a park built for skating,4.7,ENTAILMENT
7070,A man on inline skates is skating at a skate park,A trick is being performed by a rollerblader on a ramp,3.8,NEUTRAL
7074,A black dog is standing in shallow water,A black dog is standing in deep water,3.9,NEUTRAL
7077,A black dog with a red collar is amusedly putting its face in the water,A black dog is standing in shallow water,4,NEUTRAL
7081,A black dog with a red collar is putting its face in the water,A black dog is standing in shallow water,3.4,NEUTRAL
7082,The crowd is watching a football game,A football game is being watched by the crowd,5,ENTAILMENT
7083,The crowd is watching a football game,The crowd is not watching a football game,4.2,CONTRADICTION
7084,The crowd is watching the football at the game,The crowd is watching a football game,4.4,ENTAILMENT
7085,A group of people playing football is running in the field,A group of football players is running in the field,4.8,ENTAILMENT
7086,A group of football players is running in the field,A group of football players is standing still in the field,4.2,NEUTRAL
7087,The crowd is watching a football game,A group of people playing football is running in the field,3.3,NEUTRAL
7090,The crowd is not watching a football game,A group of football players is running in the field,2.7,NEUTRAL
7092,The crowd is watching a football game,A group of football players is running in the field,3.8,NEUTRAL
7094,A group of people is standing together and looking at the camera,There is no group of people standing together and looking at the camera,3.4,CONTRADICTION
7099,An oriental man and two women are facing a camera,The group of people is standing together and looking at the camera,3.8,ENTAILMENT
7100,An oriental man and two women are facing a camera,There is no group of people standing together and looking at the camera,3.2,CONTRADICTION
7101,An oriental man and two women are facing a camera,A group of people is standing together and looking at the camera,4,ENTAILMENT
7103,A child is sitting in a red and yellow toy car,There is no child sitting in a red and yellow toy car,2.9,CONTRADICTION
7104,A small girl is riding in a toy car,The small girl is riding in the toy car,4.9,ENTAILMENT
7105,A small girl is riding in a toy car,A small girl is getting out of a toy car,4.2,CONTRADICTION
7108,A small girl is getting out of a toy car,A child is sitting in a red and yellow toy car,3.2,NEUTRAL
7110,A child is sitting in a toy car colored in red and yellow,A small girl is riding in a toy car,3.9,NEUTRAL
7116,A little boy in red clothes is jumping onto the ground,A little boy in red clothes is jumping into the air,3.6,NEUTRAL
7118,A little boy in red clothes is jumping onto the ground,A child in a red outfit is jumping on a trampoline,3.4,NEUTRAL
7119,A little boy in red clothes is jumping into the air,A child in a red outfit is dangerously jumping on a trampoline,4,NEUTRAL
7120,A little boy in red clothes is jumping into the air,There is no child in a red outfit jumping on a trampoline,3.5,NEUTRAL
7121,A child in a red outfit is jumping on a trampoline,A little boy in red clothes is jumping into the air,4,ENTAILMENT
7123,A black dog is playing with a brown dog on the sand,A black dog is attacking a brown dog on the sand,3.8,NEUTRAL
7124,A brown dog and a black dog are frolicking in the sand,A brown dog and a black dog are playing in the sand,4.5,ENTAILMENT
7125,A brown dog and a black dog are playing in the sand,There is no brown dog and black dog playing in the sand,3.8,CONTRADICTION
7126,A brown dog and a black dog are frolicking in the sand,A black dog is playing with a brown dog on the sand,4.4,ENTAILMENT
7127,A black dog is playing with a brown dog on the sand,There is no brown dog and black dog playing in the sand,4,CONTRADICTION
7133,A woman and three men are posing for a photo,A woman is posing for three men for a photo,3.5,NEUTRAL
7138,A woman and three men are posing motionlessly for a photo,Three men and a woman are posing for a picture,4.5,ENTAILMENT
7139,A woman and three men are denying a photo,Three men and a woman are posing for a picture,4,NEUTRAL
7143,There is no young boy covered in grass jumping near a wooden fence,A young boy covered in grass is jumping near a wooden fence,3.4,CONTRADICTION
7144,A young boy is jumping and covering nearby wooden fence with grass,A young boy covered in grass is jumping near a wooden fence,3.2,NEUTRAL
7145,A wet boy is cheerfully jumping around on dirty and wet grass,A wet boy is jumping around on dirty and wet grass,4.9,ENTAILMENT
7150,A wet boy is jumping around on dirty and wet grass,There is no young boy covered in grass jumping near a wooden fence,3.1,NEUTRAL
7153,A black dog is walking through some tall grass,The black dog is walking through the tall grass,4.9,ENTAILMENT
7155,The black dog is sprinting through the grass,The black dog is running through the grass,4.5,ENTAILMENT
7156,The black dog is running through the grass,The black dog is not running through the grass,3.1,CONTRADICTION
7161,The black dog is running through the grass,The black dog is walking through the tall grass,4.2,CONTRADICTION
7164,A black climber is rocking a dog,The black dog is climbing on a rock,1.9,NEUTRAL
7165,A dog is standing with its two front paws on a rock in a field,The dog is standing with its two front paws on a rock in the field,5,ENTAILMENT
7166,A dog is standing with its two front paws on a rock in a field,There is no dog standing with its two front paws on a rock in the field,4.6,CONTRADICTION
7185,Two small boys dressed in tuxedos are sitting on a red carpeted floor,Two small boys dressed in tuxedos are standing on a red carpeted floor,3.9,NEUTRAL
7186,Two small boys dressed in tuxedos are sitting on a red carpeted floor,Some boys being dressed with a carpet are sitting on two red tuxedos ,3.1,NEUTRAL
7189,Some boys being dressed with a carpet are sitting on two red tuxedos ,Two little boys are wearing tuxedos,3.215,NEUTRAL
7196,A man is standing on a sidewalk,A man is sitting on a sidewalk,3.9,NEUTRAL
7200,A man is standing on a sidewalk,There is no man standing next to a bus,2.3,NEUTRAL
7204,A dog with a muzzle and a blue jacket is running around the court,A dog with a muzzle and a blue jacket is running around the yard,4.2,NEUTRAL
7205,A dog with a muzzle and a blue jacket is resting in the yard,A dog with a muzzle and a blue jacket is running around the yard,3.6,NEUTRAL
7208,A dog with a blue blanket is running through the grass,A dog with a muzzle and a blue jacket is resting in the yard,2.7,NEUTRAL
7209,A dog with a blue blanket is running through the grass,A dog with a blue muzzle is running around the yard with a jacket,3.3,NEUTRAL
7210,A dog with a blanket dyed in blue is running through the grass,A dog with a muzzle and a blue jacket is running around the yard,3.35,NEUTRAL
7211,A dog with a muzzle and a blue jacket is running around the yard,There is no dog with a blue blanket running through the grass,2.9,NEUTRAL
7213,A brown dog is running breathlessly across the yard with a toy in its mouth,A brown dog is running across the yard with a toy in its mouth,4.5,ENTAILMENT
7217,A colored toy is being carried by a brown dog in the grass,A brown dog is running across the yard with a toy in its mouth,4.1,NEUTRAL
7218,A brown dog is running across the yard with a toy in its mouth,A brown dog is dropping a colored toy from its mouth,4.1,NEUTRAL
7219,A brown dog is running breathlessly across the yard with a toy in its mouth,A brown dog is carrying a colored toy in the grass,3.9,NEUTRAL
7221,A brown dog is running across the yard with a toy in its mouth,A brown dog is carrying a colored toy in the grass,4,NEUTRAL
7222,The person with the green shirt is jumping high over the grass,A person with a green shirt is jumping high over the grass,4.9,ENTAILMENT
7224,A person with a green shirt is jumping high over the grass,A person without shirt is jumping high over the green grass,3.6,CONTRADICTION
7226,A young boy is jumping in the air with his knees bent and arms spread,There is no young boy jumping in the air with his knees bent and arms spread,3.5,CONTRADICTION
7229,The person with the green shirt is jumping high over the grass,A young boy is jumping in the air with his knees bent and arms spread,3,NEUTRAL
7230,A person with a green shirt is jumping onto the grass,A young boy is jumping in the air with his knees bent and arms spread,2.5,NEUTRAL
7234,A dog is missing the ball in mid air,A dog is catching a ball in mid air,3.4,CONTRADICTION
7235,A dog is catching a ball in mid air,A dog is caught mid air with a ball,3.2,NEUTRAL
