pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment,row.sentence_A,row.sentence_B,jaccard_score,Num_words_Sentence_B,Num_words_Sentence_A,difference_in_words
79,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,3.635,NEUTRAL,People are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,0.3888888888888889,15,13,-2
81,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,2.4,NEUTRAL,A little girl is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,0.16666666666666666,14,10,-4
82,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,2.6,NEUTRAL,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,0.16666666666666666,13,10,-3
83,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,2.2,NEUTRAL,A young girl is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,0.15789473684210525,15,10,-5
84,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,3.0,NEUTRAL,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,0.21052631578947367,10,15,5
85,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,2.0,NEUTRAL,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,0.10526315789473684,9,15,6
87,A lone biker is jumping in the air,"A biker is jumping in the air, alone",5.0,ENTAILMENT,A lone biker is jumping in the air,"A biker is jumping in the air, alone",0.6,8,8,0
88,There is no biker jumping in the air,A lone biker is jumping in the air,4.2,CONTRADICTION,There is no biker jumping in the air,A lone biker is jumping in the air,0.6,8,8,0
90,A man is jumping into an empty pool,A man is jumping into a full pool,3.0,CONTRADICTION,A man is jumping into an empty pool,A man is jumping into a full pool,0.6666666666666666,8,8,0
91,A man is jumping into an empty pool,The man's jumper is in the empty pool,3.1,NEUTRAL,A man is jumping into an empty pool,The man's jumper is in the empty pool,0.25,8,8,0
93,A lone biker is jumping in the air,A man is jumping into a full pool,1.7,NEUTRAL,A lone biker is jumping in the air,A man is jumping into a full pool,0.25,8,8,0
94,The man's jumper is in the empty pool,A lone biker is jumping in the air,1.4,NEUTRAL,The man's jumper is in the empty pool,A lone biker is jumping in the air,0.25,8,8,0
97,A lone biker is jumping in the air,A man is jumping into an empty pool,1.5,NEUTRAL,A lone biker is jumping in the air,A man is jumping into an empty pool,0.23076923076923078,8,8,0
98,Four kids are doing backbends in the park,Four children are doing backbends in the park,4.8,ENTAILMENT,Four kids are doing backbends in the park,Four children are doing backbends in the park,0.7777777777777778,8,8,0
99,Four children are doing backbends in the gym,Four children are doing backbends in the park,3.8,NEUTRAL,Four children are doing backbends in the gym,Four children are doing backbends in the park,0.7777777777777778,8,8,0
100,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,4.1,ENTAILMENT,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors,0.6363636363636364,8,10,2
107,A man who is playing is running with the ball in his hands,A player is running with the ball,4.3,ENTAILMENT,A man who is playing is running with the ball in his hands,A player is running with the ball,0.46153846153846156,7,13,6
112,Two groups of people are playing football,A player is running with the ball,2.1,NEUTRAL,Two groups of people are playing football,A player is running with the ball,0.0,7,7,0
113,Two teams are competing in a baseball game,A player is running with the ball,3.0,NEUTRAL,Two teams are competing in a baseball game,A player is running with the ball,0.07142857142857142,7,8,1
117,A player is running with the ball,Two teams are competing in a football match,2.6,NEUTRAL,A player is running with the ball,Two teams are competing in a football match,0.07142857142857142,8,7,-1
120,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,3.2,NEUTRAL,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,0.5384615384615384,10,10,0
122,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,3.7,CONTRADICTION,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,0.6666666666666666,14,12,-2
124,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,2.6,NEUTRAL,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,0.2777777777777778,10,14,4
126,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,2.7,NEUTRAL,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,0.25,12,8,-4
127,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,2.3,NEUTRAL,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,0.1,12,10,-2
129,An old man is sitting in a field,A man is sitting in a field,4.4,ENTAILMENT,An old man is sitting in a field,A man is sitting in a field,0.75,7,8,1
130,A man is sitting in a field,A man is running in a field,2.6,NEUTRAL,A man is sitting in a field,A man is running in a field,0.7142857142857143,7,7,0
131,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,4.1,NEUTRAL,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,0.5833333333333334,12,12,0
133,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,3.4,NEUTRAL,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,0.8,12,9,-3
136,A person is sitting and wearing a grass hat,A man is sitting in a field,3.3,NEUTRAL,A person is sitting and wearing a grass hat,A man is sitting in a field,0.2727272727272727,7,9,2
139,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,3.8,NEUTRAL,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,0.23076923076923078,12,7,-5
140,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,4.9,ENTAILMENT,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,0.5714285714285714,11,13,2
141,A group of friends are riding the current in a raft,A group is not riding the current in a raft,3.7,CONTRADICTION,A group of friends are riding the current in a raft,A group is not riding the current in a raft,0.5833333333333334,10,11,1
146,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,3.2,NEUTRAL,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,0.15,11,13,2
148,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,3.1,NEUTRAL,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,0.10526315789473684,11,11,0
150,A deer is jumping over a fence,A deer isn't jumping over the fence,3.9,CONTRADICTION,A deer is jumping over a fence,A deer isn't jumping over the fence,0.625,7,7,0
159,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,3.4,NEUTRAL,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,0.8461538461538461,12,12,0
161,Several people are in front of a colorful building,Nobody is in front of the colorful building,3.5,CONTRADICTION,Several people are in front of a colorful building,Nobody is in front of the colorful building,0.4166666666666667,8,9,1
163,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,3.6,NEUTRAL,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,0.05263157894736842,8,12,4
164,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,3.6,ENTAILMENT,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,0.23529411764705882,9,12,3
170,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,3.9,NEUTRAL,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,0.8,12,12,0
173,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,3.015,NEUTRAL,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,0.2727272727272727,12,6,-6
176,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,2.7,NEUTRAL,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,0.2727272727272727,12,6,-6
183,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,3.3,NEUTRAL,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,0.42105263157894735,14,13,-1
184,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,2.9,NEUTRAL,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,0.16666666666666666,11,11,0
186,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,3.1,NEUTRAL,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,0.35294117647058826,11,13,2
188,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,3.2,NEUTRAL,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,0.19047619047619047,12,14,2
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,3.8,CONTRADICTION,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,0.8333333333333334,12,13,1
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.7,CONTRADICTION,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,0.6666666666666666,14,11,-3
200,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,4.6,ENTAILMENT,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,0.875,9,10,1
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,3.7,CONTRADICTION,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,0.7777777777777778,9,10,1
202,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,4.8,ENTAILMENT,A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,0.7857142857142857,14,15,1
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,3.3,NEUTRAL,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,0.1875,9,14,5
215,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,3.7,NEUTRAL,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,0.058823529411764705,13,7,-6
216,Two dogs are playing by a tree,There is no dog leaping in the air,2.7,NEUTRAL,Two dogs are playing by a tree,There is no dog leaping in the air,0.0,8,7,-1
217,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,3.0,NEUTRAL,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,0.058823529411764705,12,7,-5
223,A girl in white is dancing,The dancer is dancing in front of the sound equipment,4.0,NEUTRAL,A girl in white is dancing,The dancer is dancing in front of the sound equipment,0.25,10,6,-4
224,A girl in white is dancing,The blond girl is dancing behind the sound equipment,3.3,NEUTRAL,A girl in white is dancing,The blond girl is dancing behind the sound equipment,0.2727272727272727,9,6,-3
226,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.5,NEUTRAL,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,0.2,11,9,-2
227,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,3.3,NEUTRAL,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,0.3076923076923077,7,11,4
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,3.9,CONTRADICTION,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,0.75,11,10,-1
233,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,3.7,NEUTRAL,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,0.8181818181818182,10,10,0
234,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,1.9,NEUTRAL,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,0.17647058823529413,11,9,-2
237,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,2.3,NEUTRAL,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,0.17647058823529413,10,10,0
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,1.6,NEUTRAL,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,0.13333333333333333,10,7,-3
240,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,4.3,ENTAILMENT,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,0.5454545454545454,7,10,3
241,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,4.0,NEUTRAL,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,0.75,7,7,0
248,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,3.6,NEUTRAL,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,0.36363636363636365,7,9,2
249,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,2.5,NEUTRAL,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,0.26666666666666666,9,10,1
254,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,3.2,CONTRADICTION,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,0.6666666666666666,10,11,1
256,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,4.3,CONTRADICTION,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,0.8125,17,16,-1
257,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,2.5,NEUTRAL,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,0.19047619047619047,17,11,-6
258,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,2.5,NEUTRAL,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,0.13636363636363635,16,11,-5
259,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,2.9,NEUTRAL,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,0.18181818181818182,14,17,3
260,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,2.4,NEUTRAL,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,0.09090909090909091,17,10,-7
265,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,4.8,ENTAILMENT,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,0.9090909090909091,11,12,1
266,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,3.6,CONTRADICTION,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,0.75,12,11,-1
269,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,3.2,NEUTRAL,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,0.35714285714285715,11,12,1
272,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,3.8,NEUTRAL,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,0.2857142857142857,11,10,-1
273,A boy is standing in the cold water,A boy is standing in the water,4.1,ENTAILMENT,A boy is standing in the cold water,A boy is standing in the water,0.875,7,8,1
276,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,3.2,CONTRADICTION,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,0.5555555555555556,8,8,0
277,A boy is standing in the water,The kid is swimming through the blue ocean,3.0,NEUTRAL,A boy is standing in the water,The kid is swimming through the blue ocean,0.16666666666666666,8,7,-1
279,The boy is wading through the blue ocean,A boy is standing in the cold water,3.3,NEUTRAL,The boy is wading through the blue ocean,A boy is standing in the cold water,0.25,8,8,0
283,A man is playing a guitar on stage,There is no man playing a guitar on stage,3.6,CONTRADICTION,A man is playing a guitar on stage,There is no man playing a guitar on stage,0.7777777777777778,9,8,-1
286,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,3.0,NEUTRAL,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,0.07692307692307693,7,8,1
287,A man is playing a guitar on stage,A bald person is playing a guitar,3.8,NEUTRAL,A man is playing a guitar on stage,A bald person is playing a guitar,0.4444444444444444,7,8,1
289,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3.4,NEUTRAL,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0.26666666666666666,12,9,-3
291,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,4.0,NEUTRAL,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,0.5833333333333334,10,10,0
293,Two young girls are sitting on the ground,Two girls are sitting on the ground,4.4,ENTAILMENT,Two young girls are sitting on the ground,Two girls are sitting on the ground,0.875,7,8,1
296,Two girls are lying on the ground,Several children are sitting down and have their knees raised,2.8,NEUTRAL,Two girls are lying on the ground,Several children are sitting down and have their knees raised,0.0625,10,7,-3
301,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,2.9,CONTRADICTION,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,0.7692307692307693,13,13,0
302,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,3.1,NEUTRAL,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,1.0,13,13,0
303,"A young, topless woman is covered in paint",A topless girl is covered in paint,4.4,ENTAILMENT,"A young, topless woman is covered in paint",A topless girl is covered in paint,0.6666666666666666,7,8,1
305,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,3.8,ENTAILMENT,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,0.2857142857142857,7,13,6
309,A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",3.0,NEUTRAL,A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",0.26666666666666666,8,13,5
310,A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",4.2,NEUTRAL,A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",0.26666666666666666,8,13,5
311,A group of people is near the ocean,A crowd of people is near the water,4.3,ENTAILMENT,A group of people is near the ocean,A crowd of people is near the water,0.6,8,8,0
312,A crowd of people is near the water,A crowd of people is far from the water,3.8,CONTRADICTION,A crowd of people is near the water,A crowd of people is far from the water,0.7,9,8,-1
313,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,4.5,ENTAILMENT,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,0.631578947368421,19,17,-2
315,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,3.3,NEUTRAL,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,0.7647058823529411,17,17,0
323,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,3.9,NEUTRAL,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,0.7692307692307693,14,15,1
327,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,1.5,NEUTRAL,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,0.17647058823529413,8,15,7
329,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,1.3,NEUTRAL,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,0.2,8,14,6
331,A group of people is on a beach,A group of people is near the sea,4.0,ENTAILMENT,A group of people is on a beach,A group of people is near the sea,0.5,8,8,0
332,A group of people is on a beach,A group of people is on a mountain,2.6,NEUTRAL,A group of people is on a beach,A group of people is on a mountain,0.75,8,8,0
333,"A man, a woman and two girls are walking on the beach",Four people are walking on the beach,4.5,ENTAILMENT,"A man, a woman and two girls are walking on the beach",Four people are walking on the beach,0.38461538461538464,7,12,5
335,A group of people is on a beach,Four people are walking on the beach,4.6,NEUTRAL,A group of people is on a beach,Four people are walking on the beach,0.2727272727272727,7,8,1
338,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,1.4,NEUTRAL,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,0.125,8,12,4
339,"A man, a woman and two girls are walking on the beach",A group of people is on a beach,4.3,ENTAILMENT,"A man, a woman and two girls are walking on the beach",A group of people is on a beach,0.2,8,12,4
340,A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,4.7,ENTAILMENT,A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,0.8,11,11,0
341,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,3.7,CONTRADICTION,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,0.8181818181818182,11,12,1
342,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,2.7,NEUTRAL,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,0.5833333333333334,11,11,0
344,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,3.8,NEUTRAL,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,0.9090909090909091,11,12,1
346,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,2.5,NEUTRAL,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,0.25,12,11,-1
